UserID ChannelID diff(StartTime(s)) Duration(ms) FS=1 LS=1
88516  84  0.046       11.915      1 1 	   
35202  171 0.047       25.077      1 0 	   
219447 53  0.037       9.335       1 1 	   
25582  5   0.066       7.475       1 1 	   
125261 48  0.027       369.923     1 1 	   
109681 11  0.000       6.836       1 1 	   
105622 66  0.027       26.366      1 1 	   
219731 80  0.013       2085.001    1 1 	   
29077  39  0.010       145.806     1 1 	   
205695 9   0.017       8.956       1 1 	   
120356 11  0.030       11.966      1 1 	   
73842  4   0.023       7.493       1 1 	   
49522  66  0.007       13.629      1 1 	   
169425 44  0.010       245.244     1 1 	   
124379 52  0.026       393.224     1 1 	   
17141  105 0.017       9.859       1 1 	   
106402 8   0.013       14.327      1 1 	   
64644  50  0.014       5.594       0 1 	   
128846 36  0.023       89.619      1 1 	   
153863 34  0.007       12.207      1 1 	   
22476  14  0.013       79.509      1 1 	   
6148   49  0.013       6.962       1 1 	   
213815 6   0.017       1225.412    1 1 	   
20609  150 0.017       25.984      1 1 	   
180321 14  0.016       35.098      1 1 	   
104290 75  0.047       50.337      1 1 	   
85295  37  0.000       8.246       0 1 	   
137888 106 0.003       12.340      1 1 	   
151895 171 0.007       643.676     1 0 	   
203768 58  0.020       13.794      1 1 	   
85285  9   0.007       125.638     1 1 	   
33020  7   0.016       16.382      1 1 	   
65589  63  0.040       62.457      1 1 	   
68239  70  0.030       450.146     1 1 	   
76745  108 0.004       174.983     1 1 	   
6142   50  0.003       917.222     1 1 	   
78034  55  0.017       6.077       1 1 	   
63877  67  0.033       235.613     1 1 	   
2402   90  0.013       9.348       1 1 	   
91747  17  0.014       191.434     1 1 	   
71648  66  0.013       60.207      1 1 	   
72994  73  0.007       5.001       1 -1	   
599    8   0.003       14.078      1 1 	   
209772 112 0.007       21.760      1 1 	   
102807 38  0.000       5.660       0 1 	   
82370  43  0.006       6.390       1 1 	   
63737  49  0.034       157.877     1 1 	   
93267  109 0.010       34.069      1 1 	   
153388 49  0.013       16.911      1 1 	   
102193 109 0.047       14428.847   1 1 	   
149869 64  0.030       2283.603    1 1 	   
75108  52  0.023       396.183     1 1 	   
84385  3   0.003       2036.503    1 1 	   
86494  9   0.060       1661.411    1 1 	   
209739 55  0.004       9.087       1 1 	   
38521  8   0.010       1907.065    1 1 	   
151278 54  0.000       15.091      0 1 	   
73654  21  0.090       6.380       1 1 	   
65753  83  0.053       1582.526    1 1 	   
64174  105 0.017       89.008      1 1 	   
195589 52  0.026       983.031     1 1 	   
142403 8   0.004       5.429       1 1 	   
39457  108 0.006       5.973       1 1 	   
197915 66  0.037       2359.901    1 1 	   
172723 6   0.017       5.922       1 1 	   
101497 42  0.053       6.620       1 1 	   
217210 6   0.037       5.149       0 1 	   
93938  62  0.096       10.677      1 1 	   
161419 83  0.024       117.801     1 1 	   
179512 8   0.006       24.625      1 1 	   
153214 66  0.044       150.296     1 1 	   
92570  149 0.030       14.999      0 1 	   
93487  171 0.070       115.789     1 0 	   
84968  48  0.026       679.752     1 1 	   
161410 96  0.014       14.823      0 1 	   
153688 8   0.016       6123.143    1 1 	   
143303 77  0.054       9.564       1 1 	   
182366 93  0.003       17.891      1 1 	   
100273 75  0.050       11.199      1 1 	   
217692 99  0.077       22.914      1 1 	   
151827 62  0.023       13795.600   1 1 	   
87376  54  0.027       319.056     1 1 	   
15181  41  0.016       8.904       1 1 	   
62372  10  0.014       6.131       1 1 	   
4433   63  0.060       12.392      1 1 	   
177852 49  0.003       5.506       1 1 	   
97875  37  0.030       89006.874   1 1 	   
103201 36  0.033       5.566       1 1 	   
109616 3   0.034       1092.648    1 1 	   
65880  111 0.026       753.774     1 1 	   
170157 79  0.017       26.989      1 1 	   
121051 73  0.037       70.841      1 1 	   
195663 3   0.053       46.613      1 1 	   
45243  9   0.030       5.277       1 1 	   
110649 56  0.037       2611.182    1 1 	   
73131  50  0.003       7.663       1 1 	   
88419  17  0.087       366.557     1 1 	   
143325 91  0.013       5.204       1 1 	   
190447 20  0.027       5.274       1 1 	   
97986  4   0.026       785.303     1 1 	   
129588 11  0.024       5.441       1 1 	   
161562 73  0.003       1422.158    1 1 	   
133211 17  0.003       60.931      1 1 	   
152045 48  0.020       36.442      1 1 	   
47739  4   0.014       5.554       1 1 	   
4284   51  0.020       9.595       1 1 	   
55830  70  0.040       5.295       0 1 	   
66726  7   0.016       26.199      1 1 	   
210462 37  0.034       2676.282    1 1 	   
211985 50  0.030       862.597     1 1 	   
190311 14  0.006       4252.779    1 1 	   
159096 171 0.000       224.864     1 0 	   
205097 3   0.004       813.042     1 1 	   
158504 113 0.010       56.656      1 1 	   
111368 171 0.023       66.613      1 0 	   
89423  171 0.003       33.271      1 0 	   
4382   70  0.004       40.267      1 1 	   
67341  112 0.000       6.903       0 1 	   
14851  113 0.023       17.635      1 1 	   
76688  3   0.003       6.129       1 1 	   
191515 3   0.004       21249.136   1 1 	   
8584   171 0.010       14.096      0 0 	   
31911  7   0.003       15.888      1 1 	   
159026 171 0.023       26.942      1 0 	   
19605  66  0.010       50.453      1 1 	   
119671 17  0.044       1817.677    1 1 	   
2517   10  0.010       9.662       1 1 	   
60877  136 0.026       7.724       1 1 	   
139262 6   0.034       10.924      1 1 	   
120191 98  0.000       6.479       1 1 	   
115803 90  0.003       26.595      0 1 	   
188143 49  0.013       13.561      1 1 	   
66867  115 0.010       6.771       1 1 	   
202756 19  0.007       215.148     1 1 	   
39096  9   0.007       14.085      1 1 	   
167885 62  0.030       719.818     1 1 	   
47884  19  0.013       17.242      1 1 	   
186521 18  0.037       7.685       1 1 	   
207298 36  0.010       18.864      1 1 	   
194824 171 0.006       534.295     1 0 	   
12106  46  0.010       10.242      1 1 	   
112822 5   0.000       197.384     1 1 	   
120681 54  0.010       625.103     1 1 	   
92217  3   0.000       1799.314    1 1 	   
57015  89  0.054       14.935      0 1 	   
28654  6   0.020       5.716       1 1 	   
194140 99  0.030       8.252       0 1 	   
34069  88  0.050       5.603       1 1 	   
33366  98  0.076       50.620      1 1 	   
43036  108 0.054       1199.630    1 1 	   
184992 82  0.030       86.714      1 1 	   
199228 3   0.013       42.397      1 1 	   
195678 36  0.037       6.120       0 1 	   
220337 111 0.013       7.384       1 1 	   
51131  63  0.013       14.830      1 1 	   
208071 10  0.017       48.513      1 1 	   
111070 73  0.003       2727.132    1 1 	   
99985  20  0.020       5.500       1 1 	   
97865  17  0.020       137.737     1 1 	   
118804 11  0.010       5.102       1 1 	   
72480  82  0.044       571.271     1 1 	   
36992  41  0.003       193.831     1 1 	   
80018  11  0.040       9.432       1 1 	   
81874  17  0.020       9.273       1 1 	   
150295 12  0.030       9.814       1 1 	   
194194 6   0.013       14.935      0 1 	   
9389   73  0.034       3538.964    1 1 	   
76531  8   0.006       12.194      0 1 	   
202395 11  0.024       9.157       1 1 	   
217910 108 0.033       621.587     1 1 	   
158708 63  0.027       84.822      1 1 	   
96626  21  0.000       14.645      1 1 	   
108134 52  0.043       21.623      1 1 	   
26881  17  0.017       130.617     1 1 	   
213032 79  0.040       6.372       0 1 	   
65578  18  0.003       34.981      1 1 	   
157778 89  0.000       2706.211    1 1 	   
118518 54  0.037       78.700      1 1 	   
82959  82  0.040       149.299     1 1 	   
217817 96  0.013       25.337      1 1 	   
136949 75  0.010       993.404     1 1 	   
45821  14  0.017       13.441      1 1 	   
10890  171 0.013       8.411       1 0 	   
158193 50  0.010       5.111       1 1 	   
16866  3   0.013       32.254      1 1 	   
21896  36  0.010       128.726     1 1 	   
126209 105 0.007       27.258      0 1 	   
47926  111 0.003       309.276     1 1 	   
189697 14  0.004       3889.364    1 1 	   
181521 20  0.023       220.549     1 1 	   
200592 171 0.017       1945.944    1 0 	   
65538  52  0.010       7.972       1 1 	   
109820 70  0.003       1674.606    1 1 	   
51575  36  0.013       490.300     1 1 	   
152773 53  0.057       14090.157   1 1 	   
156335 37  0.003       24.221      0 1 	   
107430 7   0.024       1420.651    1 1 	   
29701  13  0.020       2877.164    1 1 	   
149992 70  0.026       5.532       1 1 	   
105514 5   0.010       12.905      0 1 	   
83503  75  0.030       15.721      1 1 	   
15125  52  0.034       385.038     1 1 	   
151846 73  0.000       14.922      0 1 	   
81132  73  0.016       2247.160    1 1 	   
173479 5   0.034       62.129      1 1 	   
78899  19  0.110       9.518       0 1 	   
65845  3   0.010       703.370     1 1 	   
201311 51  0.023       11.088      1 1 	   
55245  37  0.030       18.488      1 1 	   
84447  36  0.073       78.479      1 1 	   
134411 3   0.024       1085.740    1 1 	   
17326  18  0.016       7.660       1 1 	   
91443  108 0.007       1205.807    1 1 	   
87286  4   0.013       13.561      0 1 	   
163572 70  0.027       5.351       0 1 	   
177990 64  0.010       5.380       1 1 	   
208502 51  0.040       42.195      1 1 	   
17067  24  0.023       6.441       0 1 	   
174192 171 0.004       7877.420    1 0 	   
160494 38  0.026       103.544     1 1 	   
119217 105 0.010       18.970      1 1 	   
100831 5   0.017       5.914       0 1 	   
941    51  0.000       7.589       1 1 	   
154792 6   0.023       8.752       0 1 	   
55069  108 0.027       5.745       1 1 	   
161639 171 0.013       290.494     1 0 	   
219265 28  0.054       8.319       1 1 	   
197799 19  0.046       5.279       0 1 	   
193676 66  0.060       24073.796   1 1 	   
6663   80  0.010       34.646      1 1 	   
26582  20  0.040       30.844      1 1 	   
166376 4   0.104       7.764       1 1 	   
82615  37  0.000       6.701       0 1 	   
37162  66  0.076       154.360     1 1 	   
17873  70  0.000       8.768       1 1 	   
